Date(From - To),Transaction,Consumption Units(kWh),Cost Per/Unit,Amount,System Current Balance,Calculated Current Balance
2024-07-09 - 2024-07-09,Charge,11.13,7.0,77.91,-598.52,-598.52
2024-07-08 - 2024-07-08,Charge,10.61,5.26,55.81,-520.61,-520.61
2024-07-07 - 2024-07-07,Charge,7.98,5.26,41.97,-464.8,-464.8
2024-07-06 - 2024-07-06,Charge,8.40,23.54,197.71,-422.83,-422.83
2024-07-04 - 2024-07-05,Charge,19.43,4.63,89.96,-225.12,-225.12
2024-07-03 - 2024-07-03,Charge,9.63,4.63,44.59,-135.16,-135.16
2024-07-02 - 2024-07-02,Charge,10.47,4.63,48.47,-90.57,-90.57
2024-07-01 - 2024-07-01,Charge,7.33,4.63,33.94,-42.1,-42.1
2024-06-30 - 2024-06-30,Charge,14.66,7.59,111.27,-8.16,-8.16
2024-06-29 - 2024-06-29,Charge,10.70,7.59,81.22,103.11,103.11
2024-06-28 - 2024-06-28,Charge,8.38,7.59,63.6,184.33,184.33
2024-06-27 - 2024-06-27,Charge,10.18,7.59,77.27,247.93,247.93
2024-06-26 - 2024-06-26,Charge,10.08,7.59,76.5,325.2,325.2
2024-06-25 - 2024-06-25,Charge,10.06,7.59,76.36,401.7,401.7
2024-06-24 - 2024-06-24,Charge,9.82,7.59,74.53,478.06,478.06
2024-06-23 - 2024-06-23,Charge,9.35,7.59,70.97,552.59,552.59
2024-06-22 - 2024-06-22,Charge,7.41,7.27,53.89,623.56,623.56
2024-06-19 - 2024-06-21,Charge,17.26,7.2,124.28,677.45,677.45
2024-06-18 - 2024-06-18,Charge,5.89,7.2,42.4,801.73,801.73
2024-06-16 - 2024-06-17,Charge,19.74,7.2,142.13,844.13,844.13
2024-06-16 - 2024-06-16,VAT,NA,NA,104.76,986.26,986.26
2024-06-16 - 2024-06-16,Rebate Amount,NA,NA,10.42,1091.02,1091.02
2024-06-16 - 2024-06-16,Recharge,NA,NA,2200.0,1080.6,1080.6
2024-06-15 - 2024-06-15,Charge,10.53,7.2,75.82,-1119.4,-1119.4
2024-06-14 - 2024-06-14,Charge,11.57,7.2,83.3,-1043.58,-1043.58
2024-06-13 - 2024-06-13,Charge,10.05,7.2,72.36,-960.28,-960.28
2024-06-10 - 2024-06-12,Charge,34.40,7.2,247.68,-887.92,-887.92
2024-06-09 - 2024-06-09,Charge,11.00,6.94,76.37,-640.24,-640.24
2024-06-08 - 2024-06-08,Charge,10.64,5.26,55.97,-563.87,-563.87
2024-06-06 - 2024-06-07,Charge,19.35,13.09,253.21,-507.9,-507.9
2024-06-05 - 2024-06-05,Charge,9.80,4.63,45.38,-254.69,-254.69
2024-06-04 - 2024-06-04,Charge,10.27,4.63,47.55,-209.31,-209.31
2024-06-03 - 2024-06-03,Charge,10.85,4.63,50.23,-161.76,-161.76
2024-06-01 - 2024-06-02,Charge,12.63,4.63,58.48,-111.53,-111.53
2024-05-31 - 2024-05-31,Charge,10.08,7.59,76.5,-53.05,-53.05
2024-05-30 - 2024-05-30,Charge,9.22,7.59,69.98,23.45,23.45
2024-05-29 - 2024-05-29,Charge,8.06,7.59,61.18,93.43,93.43
2024-05-27 - 2024-05-28,Charge,13.59,7.59,103.15,154.61,154.61
2024-05-26 - 2024-05-26,Charge,8.91,7.59,67.62,257.76,257.76
2024-05-24 - 2024-05-25,Charge,20.04,7.59,152.11,325.38,325.38
2024-05-20 - 2024-05-23,Charge,43.73,7.35,321.25,477.49,477.49
2024-05-19 - 2024-05-19,Charge,10.81,7.2,77.84,798.74,798.74
2024-05-17 - 2024-05-18,Charge,20.08,7.2,144.57,876.58,876.58
2024-05-16 - 2024-05-16,Charge,9.93,7.2,71.5,1021.15,1021.15
2024-05-14 - 2024-05-15,Charge,16.00,7.2,115.2,1092.65,1092.65
2024-05-12 - 2024-05-13,Charge,15.92,7.2,114.62,1207.85,1207.85
2024-05-06 - 2024-05-11,Charge,48.68,8.8,428.44,1322.47,1322.47
2024-05-10 - 2024-05-10,Rebate Amount,NA,NA,10.42,1750.91,1750.91
2024-05-10 - 2024-05-10,VAT,NA,NA,104.76,1740.49,1740.49
2024-05-10 - 2024-05-10,Recharge,NA,NA,2200.0,1845.25,1845.25
2024-05-03 - 2024-05-05,Charge,28.76,5.75,165.45,-354.75,-354.75
2024-05-01 - 2024-05-02,Charge,22.50,4.63,104.18,-189.3,-189.3
2024-04-28 - 2024-04-30,Charge,31.80,7.59,241.36,-85.12,-85.12
2024-04-25 - 2024-04-27,Charge,30.82,7.59,233.93,156.24,156.24
2024-04-23 - 2024-04-24,Charge,19.53,7.59,148.23,390.17,390.17
2024-04-19 - 2024-04-22,Charge,38.85,7.32,284.47,538.4,538.4
2024-04-16 - 2024-04-18,Charge,29.21,7.2,210.31,822.87,822.87
2024-04-15 - 2024-04-15,Charge,10.23,7.2,73.66,1033.18,1033.18
2024-04-14 - 2024-04-14,Charge,8.33,7.2,59.98,1106.84,1106.84
2024-04-11 - 2024-04-13,Charge,27.76,7.2,199.87,1166.82,1166.82
2024-04-13 - 2024-04-13,VAT,NA,NA,71.43,1366.69,1366.69
2024-04-13 - 2024-04-13,Rebate Amount,NA,NA,7.11,1438.12,1438.12
2024-04-13 - 2024-04-13,Recharge,NA,NA,1500.0,1431.01,1431.01
2024-04-09 - 2024-04-10,Charge,21.97,7.2,158.18,-68.99,-68.99
2024-04-07 - 2024-04-08,Charge,22.02,5.33,117.46,89.19,89.19
2024-04-05 - 2024-04-06,Charge,21.19,12.08,256.01,206.65,206.65
2024-04-01 - 2024-04-04,Charge,32.63,4.63,151.08,462.66,462.66
2024-03-31 - 2024-03-31,Charge,9.30,7.59,70.58,613.74,613.74
2024-03-30 - 2024-03-30,Charge,9.42,7.59,71.5,684.32,684.32
2024-03-26 - 2024-03-29,Charge,39.78,7.25,288.23,755.82,755.82
2024-03-24 - 2024-03-25,Charge,17.44,7.2,125.57,1044.05,1044.05
2024-03-23 - 2024-03-23,Charge,5.17,7.2,37.22,1169.62,1169.62
2024-03-19 - 2024-03-22,Charge,26.96,7.2,194.11,1206.84,1206.84
2024-03-22 - 2024-03-22,Rebate Amount,NA,NA,16.58,1400.95,1400.95
2024-03-22 - 2024-03-22,VAT,NA,NA,166.67,1384.37,1384.37
2024-03-22 - 2024-03-22,Recharge,NA,NA,3500.0,1551.04,1551.04
2024-03-01 - 2024-03-18,Charge,115.29,7.01,808.59,-1948.96,-1948.96
2024-02-01 - 2024-02-29,Charge,143.16,6.47,925.65,-1140.37,-1140.37
2024-01-22 - 2024-01-31,Charge,49.36,4.35,214.72,-214.72,-214.72
